,Room,Time,Assoc,Auth
26,B002,1446911887,0,0
27,B002,1446912188,0,0
28,B002,1446912490,0,0
29,B002,1446912790,0,0
30,B002,1446913091,0,0
31,B002,1446913391,0,0
32,B002,1446913690,0,0
21,B002,1446777195,0,0
22,B002,1446777496,0,0
23,B002,1446777795,0,0
24,B002,1446778096,0,0
25,B002,1446778399,0,0
26,B002,1446778700,0,0
27,B002,1446779000,0,0
28,B002,1446779299,0,0
29,B002,1446779602,0,0
30,B002,1446779901,0,0
31,B002,1446780202,0,0
32,B002,1446780505,0,0
21,B002,1446553862,7,7
22,B002,1446554172,6,6
23,B002,1446554484,5,5
24,B002,1446554792,3,3
25,B002,1446555117,3,3
26,B002,1446555457,21,21
27,B002,1446555781,6,6
28,B002,1446556090,6,6
29,B002,1446556362,10,10
30,B002,1446556644,11,11
31,B002,1446556940,12,12
32,B002,1446557249,12,11
21,B004,1447039843,0,0
22,B004,1447040142,0,0
23,B004,1447040444,0,0
24,B004,1447040745,0,0
25,B004,1447041047,0,0
26,B004,1447041348,0,0
27,B004,1447041648,0,0
28,B004,1447041947,0,0
29,B004,1447042248,0,0
30,B004,1447042548,0,0
31,B004,1447042854,0,0
32,B004,1447043156,0,0
21,B004,1447507951,0,0
22,B004,1447508254,0,0
23,B004,1447508573,0,0
24,B004,1447508859,0,0
25,B004,1447509153,0,0
26,B004,1447509455,0,0
27,B004,1447509755,0,0
28,B004,1447510058,0,0
29,B004,1447510361,0,0
30,B004,1447510664,0,0
31,B004,1447510993,0,0
32,B004,1447511266,0,0
21,B004,1447140686,0,0
22,B004,1447140983,0,0
23,B004,1447141289,0,0
24,B004,1447141594,0,0
25,B004,1447141913,0,0
26,B004,1447142202,0,0
27,B004,1447142510,0,0
28,B004,1447142812,0,0
29,B004,1447143115,0,0
30,B004,1447143421,0,0
31,B004,1447143723,0,0
32,B004,1447144033,0,0
20,B003,1447237830,9,9
21,B003,1447238133,10,10
22,B003,1447238440,10,10
23,B003,1447238751,10,10
24,B003,1447239103,10,10
25,B003,1447239427,8,8
26,B003,1447240091,7,7
27,B003,1447240289,6,6
28,B003,1447240579,7,7
29,B003,1447240892,12,12
30,B003,1447241187,14,14
21,B002,1447695134,19,19
22,B002,1447695447,16,16
23,B002,1447695769,13,13
24,B002,1447696053,13,13
25,B002,1447696352,13,13
26,B002,1447696661,11,11
27,B002,1447696960,10,10
28,B002,1447697261,9,9
29,B002,1447697562,9,9
30,B002,1447697863,6,6
31,B002,1447698160,4,4
32,B002,1447698455,6,6
21,B002,1446989531,0,0
22,B002,1446989839,0,0
23,B002,1446990140,0,0
24,B002,1446990438,0,0
25,B002,1446990739,0,0
26,B002,1446991040,0,0
27,B002,1446991340,0,0
28,B002,1446991657,0,0
29,B002,1446992003,0,0
30,B002,1446992248,0,0
31,B002,1446992548,0,0
32,B002,1446992860,0,0
21,B004,1447327926,72,72
22,B004,1447328237,76,75
23,B004,1447328540,73,73
24,B004,1447328843,20,20
25,B004,1447329188,10,10
26,B004,1447329540,11,11
27,B004,1447329839,33,32
28,B004,1447330113,49,49
29,B004,1447330398,55,55
30,B004,1447330699,50,50
31,B004,1447330998,50,50
32,B004,1447331296,51,51
21,B002,1447263165,19,19
22,B002,1447263470,19,19
23,B002,1447263769,19,19
24,B002,1447264079,18,18
25,B002,1447264396,19,19
26,B002,1447264709,15,14
27,B002,1447265000,12,12
28,B002,1447265297,8,8
29,B002,1447265583,5,5
30,B002,1447265881,6,6
31,B002,1447266186,6,6
32,B002,1447266486,6,6
21,B002,1446687203,0,0
22,B002,1446687497,0,0
23,B002,1446687796,0,0
24,B002,1446688101,0,0
25,B002,1446688398,0,0
26,B002,1446688698,0,0
27,B002,1446689010,0,0
28,B002,1446689308,0,0
29,B002,1446689604,0,0
30,B002,1446689902,0,0
31,B002,1446690203,0,0
32,B002,1446690503,0,0
21,B002,1447093954,6,6
22,B002,1447094250,6,6
23,B002,1447094557,4,4
24,B002,1447094880,2,2
25,B002,1447095157,2,2
26,B002,1447095464,6,6
27,B002,1447095764,6,6
28,B002,1447096069,7,7
29,B002,1447096363,6,6
30,B002,1447096663,6,6
31,B002,1447096974,6,6
32,B002,1447097269,6,6
21,B003,1447662744,1,1
22,B003,1447663054,4,4
23,B003,1447663358,5,5
24,B003,1447663673,5,5
25,B003,1447663993,5,5
26,B003,1447664303,6,6
27,B003,1447664620,10,10
28,B003,1447664912,14,14
29,B003,1447665196,16,16
30,B003,1447665496,18,18
31,B003,1447665794,19,19
32,B003,1447666112,20,20
20,B003,1447277648,0,0
21,B003,1447277950,0,0
22,B003,1447278248,0,0
23,B003,1447278551,0,0
24,B003,1447278851,0,0
25,B003,1447279167,0,0
26,B003,1447279478,0,0
27,B003,1447279775,0,0
28,B003,1447280091,0,0
29,B003,1447280384,0,0
30,B003,1447280689,0,0
21,B003,1446831095,3,3
22,B003,1446831397,3,3
23,B003,1446831699,3,3
24,B003,1446831997,3,3
25,B003,1446832296,3,3
26,B003,1446832600,3,3
27,B003,1446832899,2,2
28,B003,1446833198,1,1
29,B003,1446833500,1,1
30,B003,1446833796,1,1
31,B003,1446834100,1,1
32,B003,1446834402,1,1
20,B003,1447022057,0,0
21,B003,1447022394,0,0
22,B003,1447022686,0,0
23,B003,1447022986,0,0
24,B003,1447023288,0,0
25,B003,1447023590,0,0
26,B003,1447023888,0,0
27,B003,1447024191,0,0
28,B003,1447024489,0,0
29,B003,1447024792,0,0
30,B003,1447025094,0,0
21,B003,1446985918,0,0
