16.00-17.00,B108,40,0,0,11th November 2015,1447257600,Seminar
16.00-17.00,B109,90,0,0,11th November 2015,1447257600,Seminar
9.00-10.00,B004,160,1,50,12th November 2015,1447318800,Lecture Theatre
9.00-10.00,B002,90,0,0,12th November 2015,1447318800,Classroom
9.00-10.00,B003,90,0,0,12th November 2015,1447318800,Classroom
9.00-10.00,B106,90,0,0,12th November 2015,1447318800,A.L.E.
9.00-10.00,B108,40,0,0,12th November 2015,1447318800,Seminar
9.00-10.00,B109,90,0,0,12th November 2015,1447318800,Seminar
10.00-11.00,B004,160,1,50,12th November 2015,1447322400,Lecture Theatre
10.00-11.00,B002,90,1,25,12th November 2015,1447322400,Classroom
10.00-11.00,B003,90,0,0,12th November 2015,1447322400,Classroom
10.00-11.00,B106,90,0,0,12th November 2015,1447322400,A.L.E.
10.00-11.00,B108,40,0,0,12th November 2015,1447322400,Seminar
10.00-11.00,B109,90,0,0,12th November 2015,1447322400,Seminar
11.00-12.00,B004,160,1,25,12th November 2015,1447326000,Lecture Theatre
